10公里 10gongli 1gl
泊头 potou pt
勃利 boli bl
亳州 bozhou bz
博鳌 boao ba
博白 bobai bb
博克图 boketu bkt
博乐 bole bl
博兴 boxing bx
布海 buhai bh
布苏里 busuli bsl
步行街 buxingjie bxj
蔡家沟 caijiagou cjg
蔡家坡 caijiapo cjp
苍南 cangnan cn
苍坪 cangping cp
苍石 cangshi cs
苍溪 cangxi cx
沧州西 cangzhouxi czx
沧州 cangzhou cz
曹家伙场 caojiahuochang cjhc
曹家湾 caojiawan cjw
曹家营子 caojiayingzi cjyz
曹县 caoxian cx
曹子里 caozili czl
草海 caohai ch
草河口 caohekou chk
草市 caoshi cs
册亨 ceheng ch
岑溪 cenxi cx
曾家坪子 cengjiapingzi cjpz
茶卡 chaka ck
茶陵南 chalingnan cln
茶条沟 chatiaogou ctg
茶镇 chazhen cz
查布嘎 chabuga cbg
查干湖 chaganhu cgh
查干浑迪 chaganhundi cghd
查干特格 chagantege cgtg
察尔汗 chaerhan ceh
察汗诺 chahannuo chn
察素齐 chasuqi csq
岔河 chahe ch
岔江 chajiang cj
柴岗 chaigang cg
柴沟堡 chaigoubu cgb
柴河 chaihe ch
昌乐 changle cl
昌黎 changli cl
昌平北 changpingbei cpb
昌平 changping cp
昌图 changtu ct
昌图西 changtuxi ctx
常村 changcun cc
常德 changde cd
常平 changping cp
常平东 changpingdong cpd
常兴 changxing cx
常州北 changzhoubei czb
超梁沟 chaolianggou clg
巢湖东 chaohudong chd
巢湖 chaohu ch
朝天南 chaotiannan ctn
朝阳 zhaoyang zy
朝阳川 zhaoyangchuan zyc
朝阳村 zhaoyangcun zyc
朝阳地 zhaoyangde zyd
朝阳镇 zhaoyangzhen zyz
朝原 chaoyuan cy
朝中 chaozhong cz
潮汕 chaoshan cs
潮水 chaoshui cs
潮阳 chaoyang cy
潮州 chaozhou cz
车墩 chedun cd
车转湾 chezhuanwan czw
郴州 chenzhou cz
郴州西 chenzhouxi czx
辰清 chenqing cq
辰溪 chenxi cx
陈官营 chenguanying cgy
陈家湾 chenjiawan cjw
陈相屯 chenxiangtun cxt
晨明 chenming cm
成都南 chengdunan cdn
成高子 chenggaozi cgz
成吉思汗 chengjisihan cjsh
承德东 chengdedong cdd
承德 chengde cd
城固 chenggu cg
城阳 chengyang cy
城子坦 chengzitan czt
程家 chengjia cj
池河 chihe ch
池州 chizhou cz
赤壁 chibi cb
赤壁北 chibibei cbb
赤峰 chifeng cf
赤峰东 chifengdong cfd
赤峰西 chifengxi cfx
崇信 chongxin cx
崇左 chongzuo cz
滁州北 chuzhoubei czb
滁州 chuzhou cz
楚鲁图 chulutu clt
楚山 chushan cs
楚雄南 chuxiongnan cxn
褚家湾 chujiawan cjw
串子沟 chuanzigou czg
创业村 chuangyecun cyc
春申 chunshen cs
春亭阁 chuntingge ctg
春阳 chunyang cy
茨坝 ciba cb
茨冲 cichong cc
慈利 cili cl
磁山 cishan cs
磁县 cixian cx
磁窑 ciyao cy
崔黄口 cuihuangkou chk
翠峰 cuifeng cf
翠岗 cuigang cg
嵯岗 cuogang cg
达布逊 dabuxun dbx
达家沟 dajiagou djg
达拉滨 dalabin dlb
达拉特西 dalatexi dltx
达州 dazhou dz
打柴沟 dachaigou dcg
打羊 dayang dy
大安 daan da
大安北 daanbei dab
大巴 daba db
大坝 daba db
大板 daban db
大堡 dabao db
大柴旦 dachaidan dcd
大厂县 dachangxian dcx
大成 dacheng dc
大蹬沟 dadenggou ddg
大东 dadong dd
大丰 dafeng df
大关 daguan dg
大观岭 daguanling dgl
大官屯 daguantun dgt
大罕 dahan dh
大河坝 daheba dhb
大红旗 dahongqi dhq
大虎山 dahushan dhs
大灰厂 dahuichang dhc
大涧 dajian dj
大苴 daju dj
大口钦 dakouqin dkq
大口屯 dakoutun dkt
大梨树 dalishu dls
大理 dali dl
大荔 dali dl
大荔北 dalibei dlb
大连 dalian dl
大连北 dalianbei dlb
大良 daliang dl
大林 dalin dl
大陆号 daluhao dlh
大民屯 damintun dmt
大明湖 daminghu dmh
大盘石 dapanshi dps
大平房 dapingfang dpf
大埔 dabu db
大其拉哈 daqilaha dqlh
大桥 daqiao dq
大青沟 daqinggou dqg
大庆 daqing dq
大庆东 daqingdong dqd
大庆西 daqingxi dqx
大山铺 dashanpu dsp
大石桥 dashiqiao dsq
大石头 dashitou dst
大石寨 dashizhai dsz
大滩 datan dt
大田边 datianbian dtb
大通西 datongxi dtx
大同东 datongdong dtd
大屯 datun dt
大湾子 dawanzi dwz
大旺 dawang dw
大乌苏 dawusu dws
大武口 dawukou dwk
大西 daxi dx
大辛庄 daxinzhuang dxz
大兴 daxing dx
大兴沟 daxinggou dxg
大雅河 dayahe dyh
大雁 dayan dy
大扬气 dayangqi dyq
大杨树 dayangshu dys
大杨树东 dayangshudong dysd
大冶北 dayebei dyb
大英 daying dy
大英东 dayingdong dyd
大营 daying dy
大营镇 dayingzhen dyz
大营子 dayingzi dyz
大余 dayu dy
大战场 dazhanchang dzc
大杖子 dazhangzi dzz
大竹园 dazhuyuan dzy
大足 dazu dz
代马沟 daimagou dmg
代湾 daiwan dw
代县 daixian dx
岱岳 daiyue dy
带岭 dailing dl
丹东 dandong dd
丹凤 danfeng df
丹徒 dantu dt
丹霞山 danxiashan dxs
丹阳北 danyangbei dyb
丹阳 danyang dy
当雄 dangxiong dx
当阳 dangyang dy
砀山 dangshan ds
刀尔登 daoerdeng ded
到保 daobao db
道清 daoqing dq
道镇 daozhen dz
道州 daozhou dz
得耳布尔 deerbuer debe
得胜台 deshengtai dst
德安 dean da
德保 debao db
德伯斯 debosi dbs
德昌 dechang dc
德惠 dehui dh
德惠西 dehuixi dhx
德令哈 delingha dlh
德清西 deqingxi dqx
德清 deqing dq
德日斯图 derisitu drst
德兴 dexing dx
德阳 deyang dy
德州东 dezhoudong dzd
德州 dezhou dz
灯塔 dengta dt
登沙河 dengshahe dsh
登瀛崖 dengyingya dyy
邓家湾 dengjiawan djw
邓州 dengzhou dz
低窝铺 diwopu dwp
低庄 dizhuang dz
滴道 didao dd
甸心 dianxin dx
垫江 dianjiang dj
鼎湖东 dinghudong dhd
鼎湖山 dinghushan dhs
定边 dingbian db
定南 dingnan dn
定陶 dingtao dt
定西 dingxi dx
定西北 dingxibei dxb
定襄 dingxiang dx
定远 dingyuan dy
定州东 dingzhoudong dzd
定州 dingzhou dz
东安东 dongandong dad
东边井 dongbianjing dbj
东大坝 dongdaba ddb
东二道河 dongerdaohe dedh
东方 dongfang df
东方红 dongfanghong dfh
东丰 dongfeng df
东富 dongfu df
东宫 donggong dg
东沟门 donggoumen dgm
东莞 dongguan dg
东莞东 dongguandong dgd
东光 dongguang dg
东海 donghai dh
东海县 donghaixian dhx
东壕 donghao dh
东佳木斯 dongjiamusi djms
东津 dongjin dj
东京城 dongjingcheng djc
东来 donglai dl
东门 dongmen dm
东明村 dongmingcun dmc
东明县 dongmingxian dmx
东南营子 dongnanyingzi dnyz
东坡 dongpo dp
东升 dongsheng ds
东胜西 dongshengxi dsx
东台 dongtai dt
东田良 dongtianliang dtl
东通化 dongtonghua dth
东湾 dongwan dw
东乡 dongxiang dx
东辛庄 dongxinzhuang dxz
东兴 dongxing dx
东阳关 dongyangguan dyg
东营 dongying dy
东营南 dongyingnan dyn
东营子 dongyingzi dyz
东淤地 dongyude dyd
东元庆 dongyuanqing dyq
东镇 dongzhen dz
东至 dongzhi dz
东庄 dongzhuang dz
氡泉 dongquan dq
洞井 dongjing dj
洞庙河 dongmiaohe dmh
洞子崖 dongziya dzy
都格 douge dg
都江堰 dujiangyan djy
都伦 doulun dl
都匀 douyun dy
斗沟子 dougouzi dgz
豆罗 douluo dl
豆沙关 doushaguan dsg
豆庄 douzhuang dz
独立屯 dulitun dlt
独山 dushan ds
杜家 dujia dj
杜赵 duzhao dz
渡市 dushi ds
端州 duanzhou dz
段甲岭 duanjialing djl
对青山 duiqingshan dqs
兑镇 duizhen dz
敦化 dunhua dh
敦煌 dunhuang dh
峨边 ebian eb
峨眉 emei em
峨眉山 emeishan ems
额济纳 ejina ejn
鄂尔多斯 eerduosi eeds
鄂州 ezhou ez
鄂州东 ezhoudong ezd
恩施 enshi es
尔赛河 ersaihe esh
二岔 ercha ec
二道岗 erdaogang edg
二道沟门 erdaogoumen edgm
二道沟 erdaogou edg
二道河 erdaohe edh
二道桥 erdaoqiao edq
二道沙河 erdaoshahe edsh
二道湾 erdaowan edw
二道岩 erdaoyan edy
二井 erjing ej
二连 erlian el
二龙 erlong el
二龙村 erlongcun elc
二龙山屯 erlongshantun elst
二密河 ermihe emh
二营 erying ey
二营子 eryingzi eyz
发耳 faer fe
繁峙 fanzhi fz
范家屯 fanjiatun fjt
范镇 fanzhen fz
防城港北 fangchenggangbei fcgb
费县 feixian fx
分宜 fenyi fy
汾河 fenhe fh
汾阳 fenyang fy
丰城 fengcheng fc
丰城南 fengchengnan fcn
丰都 fengdou fd
丰广 fengguang fg
丰乐镇 fenglezhen flz
丰水村 fengshuicun fsc
丰顺 fengshun fs
丰镇 fengzhen fz
风陵渡 fenglingdu fld
风水沟 fengshuigou fsg
枫叶岭 fengyeling fyl
封丘 fengqiu fq
峰洞 fengdong fd
峰高铺 fenggaopu fgp
冯家山 fengjiashan fjs
冯屯 fengtun ft
凤城东 fengchengdong fcd
凤凰城 fenghuangcheng fhc
凤凰机场 fenghuangjichang fhjc
凤县 fengxian fx
凤翔 fengxiang fx
凤州 fengzhou fz
奉化 fenghua fh
佛岭 fuling fl
佛山 foshan fs
佛山西 foshanxi fsx
扶绥 fusui fs
扶余 fuyu fy
扶余北 fuyubei fyb
芙蓉南 furongnan frn
浮图峪 futuyu fty
涪陵 fuling fl
涪陵北 fulingbei flb
福安 fuan fa
福鼎 fuding fd
福海 fuhai fh
福巨 fuju fj
福利屯 fulitun flt
福临堡 fulinbao flb
福清 fuqing fq
福泉 fuquan fq
福山地 fushandi fsd
福山口 fushankou fsk
福山寺 fushansi fss
福山镇 fushanzhen fsz
福生庄 fushengzhuang fsz
福田 futian ft
福溪 fuxi fx
福兴地 fuxingde fxd
福州 fuzhou fz
福州南 fuzhounan fzn
抚宁 funing fn
抚顺北 fushunbei fsb
抚松 fusong fs
抚远 fuyuan fy
抚远东 fuyuandong fyd
抚州 fuzhou fz
抚州东 fuzhoudong fzd
阜南 funan fn
阜宁 funing fn
阜新 fuxin fx
阜阳 fuyang fy
复盛 fusheng fs
富川 fuchuan fc
富海 fuhai fh
富江镇 fujiangzhen fjz
富锦 fujin fj
富拉尔基 fulaerji flej
富力 fuli fl
富宁 funing fn
富县东 fuxiandong fxd
富裕 fuyu fy
富源 fuyuan fy
富源北 fuyuanbei fyb
富庄子 fuzhuangzi fzz
嘎拉德斯汰 galadesitai gldst
嘎什甸子 gashendianzi gsdz
嘎什吐 gashentu gst
盖州 gaizhou gz
盖州西 gaizhouxi gzx
甘草店 gancaodian gcd
甘谷 gangu gg
甘河 ganhe gh
甘家坝 ganjiaba gjb
甘洛 ganluo gl
甘旗卡 ganqika gqk
甘泉 ganquan gq
甘泉北 ganquanbei gqb
泔溪 ganxi gx
赶水 ganshui gs
干沟 gangou gg
干塘 gantang gt
干溪沟 ganxigou gxg
赣州 ganzhou gz
刚察 gangcha gc
皋兰 gaolan gl
高安 gaoan ga
高碑店东 gaobeidiandong gbdd
高碑店 gaobeidian gbd
高村 gaocun gc
高尔山 gaoershan ges
高峰 gaofeng gf
高各庄 gaogezhuang ggz
高谷 gaogu gg
高家 gaojia gj
高家村 gaojiacun gjc
高老 gaolao gl
高梁铺 gaoliangpu glp
高林屯 gaolintun glt
高岭 gaoling gl
高密 gaomi gm
高平 gaoping gp
高坪铺 gaopingpu gpp
高桥镇 gaoqiaozhen gqz
高山子 gaoshanzi gsz
高寺台 gaositai gst
高台 gaotai gt
高台南 gaotainan gtn
高台子 gaotaizi gtz
高滩 gaotan gt
高潭子 gaotanzi gtz
高头 gaotou gt
高头 gaotou gt
高兴 gaoxing gx
高邑西 gaoyixi gyx
高邑 gaoyi gy
高州 gaozhou gz
藁城 gaocheng gc
革居 geju gj
革镇堡 gezhenbao gzb
格尔木 geermu gem
格勒森德 geleisende glsd
葛店南 gediannan gdn
葛根庙 gegenmiao ggm
根河 genhe gh
工农湖 gongnonghu gnh
公积坂 gongjiban gjb
公庙子 gongmiaozi gmz
公兴 gongxing gx
公营子 gongyingzi gyz
公主岭 gongzhuling gzl
公主岭南 gongzhulingnan gzln
恭城 gongcheng gc
巩义 gongyi gy
巩义南 gongyinan gyn
共和 gonghe gh
共青城 gongqingcheng gqc
沟帮子 goubangzi gbz
沟口 goukou gk
孤店子 gudianzi gdz
孤家子 gujiazi gjz
孤山 gushan gs
孤山子 gushanzi gsz
姑家堡 gujiabao gjb
菇园 guyuan gy
古城 gucheng gc
古城镇 guchengzhen gcz
古城子 guchengzi gcz
古东 gudong gd
古尔班 guerban geb
古家沱 gujiatuo gjt
古交 gujiao gj
古浪 gulang gl
古里金 gulijin glj
古莲 gulian gl
古田 gutian gt
古田北 gutianbei gtb
古田会址 gutianhuizhi gthz
古源 guyuan gy
古镇 guzhen gz
谷城 gucheng gc
固始 gushi gs
固原 guyuan gy
固镇 guzhen gz
瓜州 guazhou gz
关村坝 guancunba gcb
关林 guanlin gl
关寨 guanzhai gz
官高 guangao gg
官家 guanjia gj
官厅西 guantingxi gtx
官厅 guanting gt
官字井 guanzijing gzj
冠豸山 guanzhishan gzs
灌水 guanshui gs
光明 guangming gm
光明城 guangmingcheng gmc
光山 guangshan gs
光泽 guangze gz
广安 guangan ga
广安南 guangannan gan
广德号 guangdehao gdh
广德 guangde gd
广汉 guanghan gh
广南卫 guangnanwei gnw
广南县 guangnanxian gnx
广宁 guangning gn
广宁寺 guangningsi gns
广水 guangshui gs
广顺场 guangshunchang gsc
广通北 guangtongbei gtb
广元 guangyuan gy
广元东 guangyuandong gyd
广元南 guangyuannan gyn
广州北 guangzhoubei gzb
归德乡 guidexiang gdx
归流河 guiliuhe glh
贵定 guiding gd
贵定南 guidingnan gdn
贵港 guigang gg
贵溪 guixi gx
贵阳 guiyang gy
桂林 guilin gl
桂林西 guilinxi glx
桂平 guiping gp
郭尔奔敖包 guoerbenaobao gebab
郭家店 guojiadian gjd
郭家屯 guojiatun gjt
虢镇 guozhen gz
果松 guosong gs
哈川 hachuan hc
哈达 hada hd
哈达铺 hadapu hdp
哈达山 hadashan hds
哈达阳 hadayang hdy
哈尔巴岭 haerbaling hebl
哈尔滨北 haerbinbei hebb
哈尔滨东 haerbindong hebd
哈尔滨西 haerbinxi hebx
哈尔盖 haergai heg
哈克 hake hk
哈拉沟 halagou hlg
哈拉海 halahai hlh
哈拉苏 halasu hls
哈力图 halitu hlt
哈密 hami hm
哈日努拉 harinula hrnl
哈业胡同 hayehutong hyht
蛤蟆塘 hamatang hmt
海安县 haianxian hax
海北 haibei hb
海城 haicheng hc
海城西 haichengxi hcx
海东西 haidongxi hdx
海口 haikou hk
海口东 haikoudong hkd
海拉尔 hailaer hle
海浪 hailang hl
海林 hailin hl
海龙 hailong hl
海伦 hailun hl
海宁西 hainingxi hnx
海宁 haining hn
海石湾 haishiwan hsw
海坨子 haituozi htz
海湾 haiwan hw
海晏 haiyan hy
海阳北 haiyangbei hyb
邯郸东 handandong hdd
邯郸 handan hd
涵江 hanjiang hj
韩城 hancheng hc
韩府湾 hanfuwan hfw
韩家园 hanjiayuan hjy
韩麻营 hanmaying hmy
寒葱沟 hanconggou hcg
寒岭 hanling hl
汉川 hanchuan hc
汉寿 hanshou hs
汉王山 hanwangshan hws
汉阴 hanyin hy
汉源 hanyuan hy
汉中 hanzhong hz
汗苏鲁 hansulu hsl
杭锦旗 hangjinqi hjq
杭州 hangzhou hz
豪门 haomen hm
好鲁库 haoluku hlk
浩良河 haolianghe hlh
合川 hechuan hc
合肥北城 hefeibeicheng hfbc
合肥 hefei hf
合浦 hepu hp
合阳北 heyangbei hyb
何三家 hesanjia hsj
和村 hecun hc
和龙 helong hl
和平 heping hp
和什托洛盖 heshentuoluogai hstlg
和硕 heshuo hs
和田 hetian ht
河边 hebian hb
河唇 hechun hc
河津 hejin hj
河口北 hekoubei hkb
河口南 hekounan hkn
河洛营 heluoying hly
河阳 heyang hy
河源 heyuan hy
荷塘 hetang ht
核桃园 hetaoyuan hty
菏泽 heze hz
贺家店 hejiadian hjd
贺胜桥东 heshengqiaodong hsqd
贺州 hezhou hz
赫尔洪得 heerhongde hehd
鹤北 hebei hb
鹤壁 hebi hb
鹤壁东 hebidong hbd
鹤岗 hegang hg
鹤立 heli hl
鹤庆 heqing hq
鹤山 heshan hs
黑冲滩 heichongtan hct
黑河 heihe hh
黑井 heijing hj
黑沙土 heishatu hst
黑石木 heishimu hsm
黑水 heishui hs
黑台 heitai ht
黑旺 heiwang hw
恒地营 hengdeying hdy
横道河子 hengdaohezi hdhz
横峰 hengfeng hf
横沟桥东 henggouqiaodong hgqd
横江 hengjiang hj
衡山 hengshan hs
衡山西 hengshanxi hsx
衡水 hengshui hs
衡阳东 hengyangdong hyd
红安 hongan ha
红房子 hongfangzi hfz
红峰 hongfeng hf
红光镇 hongguangzhen hgz
红果 hongguo hg
红花沟 honghuagou hhg
红花塘 honghuatang hht
红花园 honghuayuan hhy
红江 hongjiang hj
红旗 hongqi hq
红旗营 hongqiying hqy
红砂坝 hongshaba hsb
红砂岘 hongshaxian hsx
红山 hongshan hs
红寺堡 hongsibao hsb
红岘台 hongxiantai hxt
红星 hongxing hx
红兴隆 hongxinglong hxl
红彦 hongyan hy
宏庆 hongqing hq
宏图 hongtu ht
洪安乡 honganxiang hax
洪洞 hongdong hd
洪洞西 hongdongxi hdx
洪河 honghe hh
侯家坪 houjiaping hjp
侯马 houma hm
侯马西 houmaxi hmx
猴山 houshan hs
后湖 houhu hh
后寨 houzhai hz
鲘门 houmen hm
呼尔吉音 huerjiyin hejy
呼和浩特东 huhehaotedong hhhtd
呼和浩特 huhehaote hhht
呼兰 hulan hl
呼噜斯太 hulusitai hlst
呼源 huyuan hy
呼中 huzhong hz
葫芦岛 huludao hld
葫芦岛北 huludaobei hldb
湖北 hubei hb
湖口 hukou hk
湖州 huzhou hz
虎尔虎拉 huerhula hehl
虎峰 hufeng hf
虎林 hulin hl
虎门 humen hm
虎山 hushan hs
虎什哈 hushenha hsh
虎石台 hushitai hst
互助 huzhu hz
花湖 huahu hh
花家庄 huajiazhuang hjz
花龙门 hualongmen hlm
花楼坝 hualouba hlb
花棚子 huapengzi hpz
花桥 huaqiao hq
花山南 huashannan hsn
花土坡 huatupo htp
花园 huayuan hy
花园口 huayuankou hyk
花庄 huazhuang hz
华安 huaan ha
华城 huacheng hc
华家 huajia hj
华容 huarong hr
华容东 huarongdong hrd
华容南 huarongnan hrn
华山 huashan hs
华山北 huashanbei hsb
华蓥 huaying hy
滑县南 huaxiannan hxn
化处 huachu hc
化德 huade hd
化州 huazhou hz
桦林 hualin hl
桦南 huanan hn
桦皮厂 huapichang hpc
怀化 huaihua hh
怀化南 huaihuanan hhn
怀集 huaiji hj
怀仁 huairen hr
怀仁东 huairendong hrd
怀柔北 huairoubei hrb
怀柔 huairou hr
淮安 huaian ha
淮北 huaibei hb
淮滨 huaibin hb
淮南东 huainandong hnd
淮南 huainan hn
槐荫 huaiyin hy
桓龙湖 huanlonghu hlh
换新天 huanxintian hxt
荒沟西 huanggouxi hgx
皇德 huangde hd
皇姑屯 huanggutun hgt
黄柏 huangbai hb
黄白茨 huangbaici hbc
黄村 huangcun hc
黄冈 huanggang hg
黄冈东 huanggangdong hgd
黄冈西 huanggangxi hgx
黄瓜园 huangguayuan hgy
黄河景区 huanghejingqu hhjq
黄花筒 huanghuatong hht
黄家店 huangjiadian hjd
黄甲屯 huangjiatun hjt
黄口 huangkou hk
黄磏 huanglian hl
黄陵 huangling hl
黄陵南 huanglingnan hln
黄流 huangliu hl
黄梅 huangmei hm
黄泥河 huangnihe hnh
黄泥崴子 huangniwaizi hnwz
黄平 huangping hp
黄山北 huangshanbei hsb
黄山 huangshan hs
黄石 huangshi hs
黄石北 huangshibei hsb
黄丝 huangsi hs
黄松甸 huangsongdian hsd
黄羊滩 huangyangtan hyt
黄羊镇 huangyangzhen hyz
黄洋 huangyang hy
黄州 huangzhou hz
湟源 huangyuan hy
潢川 huangchuan hc
徽县 huixian hx
回龙庵 huilongan hla
汇流河 huiliuhe hlh
汇塘河 huitanghe hth
会昌北 huichangbei hcb
会同 huitong ht
惠安 huian ha
惠东 huidong hd
惠环 huihuan hh
惠农 huinong hn
惠山 huishan hs
惠州 huizhou hz
惠州南 huizhounan hzn
惠州西 huizhouxi hzx
浑河 hunhe hh
火炬沟 huojugou hjg
火连寨 huolianzhai hlz
火烧寨 huoshaozhai hsz
获嘉 huojia hj
霍城 huocheng hc
霍尔果斯 huoerguosi hegs
霍林郭勒 huolinguolei hlgl
霍邱 huoqiu hq
霍州 huozhou hz
霍州东 huozhoudong hzd
芨岭 jiling jl
鸡东 jidong jd
鸡冠山 jiguanshan jgs
鸡西 jixi jx
吉安 jian ja
吉兰太 jilantai jlt
吉林 jilin jl
吉首 jishou js
吉舒 jishu js
吉文 jiwen jw
吉新河 jixinhe jxh
即墨北 jimobei jmb
集安 jian ja
集宁南 jiningnan jnn
纪家沟 jijiagou jjg
济宁 jining jn
济源 jiyuan jy
绩溪北 jixibei jxb
绩溪县 jixixian jxx
蓟州南 jizhounan jzn
蓟州 jizhou jz
稷山 jishan js
加格达奇 jiagedaqi jgdq
加劳 jialao jl
加南 jianan jn
嘉川 jiachuan jc
嘉峰 jiafeng jf
嘉善南 jiashannan jsn
嘉善 jiashan js
嘉祥 jiaxiang jx
嘉兴南 jiaxingnan jxn
嘉兴 jiaxing jx
嘉峪关 jiayuguan jyg
嘉峪关南 jiayuguannan jygn
夹心子 jiaxinzi jxz
甲山 jiashan js
尖峰 jianfeng jf
简阳 jianyang jy
简阳南 jianyangnan jyn
碱柜 jiangui jg
建安 jianan ja
建昌 jianchang jc
建宁县北 jianningxianbei jnxb
建瓯 jianou jo
建瓯西 jianouxi jox
建三江 jiansanjiang jsj
建设 jianshe js
建始 jianshi js
建水 jianshui js
建阳 jianyang jy
涧池铺 jianchipu jcp
江源 jiangyuan jy
江都 jiangdu jd
江华 jianghua jh
江津 jiangjin jj
江门东 jiangmendong jmd
江密峰 jiangmifeng jmf
江宁 jiangning jn
江桥 jiangqiao jq
江山 jiangshan js
江所田 jiangsuotian jst
江西村 jiangxicun jxc
江永 jiangyong jy
江油 jiangyou jy
将乐 jiangle jl
姜家 jiangjia jj
姜堰 jiangyan jy
蒋村 jiangcun jc
绛帐 jiangzhang jz
交城 jiaocheng jc
胶州 jiaozhou jz
胶州北 jiaozhoubei jzb
蛟河 jiaohe jh
焦作 jiaozuo jz
焦作东 jiaozuodong jzd
